Recipe ID,Nama Resep,Energi (kj),Energi (kkal),Lemak (g),Lemak Jenuh (g),Lemak Trans (g),Lemak tak Jenuh Ganda (g),Lemak tak Jenuh Tunggal (g),Kolesterol (mg),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (mg),Kalium (mg),Kategori,Keywords,PrepTime,CookTime,Ingredients,Instructioons,Meal Category
7,Mie Shirataki Goreng,732,175,5.92,0.001303,0.0,0.968,0.819,19.0,9.13,19.04,2.8,8.15,439.0,324.0,"""Hidangan Utama"",""Makanan Ringan"",""Makan Siang""","""Begitu lezat dan mudah dimasak.""",15 menit,10 menit,"""1 sejumput salt"",""1 buah utuh portabella mushrooms"",""30 gram cherry tomatoes"",""3 ml minyak goreng"",""1 sdm kecap manis"",""75 g mie kering shirataki"",""8 g sambal bawang"",""45 g dada ayam"",""65 g telur omega""","""Panaskan wajan dengan minyak dan tumis irisan dada ayam dan jamur."",""Tambahkan telur orak-arik sebelumnya"",""irisan tomat"",""dan bahan lainnya"",""masak hingga matang."",""Pindahkan ke piring dan sajikan. Menikmati.""",makan siang
17,Ayam dengan Jagung dan Kacang,837,200,4.5,0.001062,0.0,0.001514,0.001252,59.0,24.91,18.28,4.6,2.89,64.0,557.0,"""Makan Siang"",""Hidangan Utama""","""Hidangan sehat rendah kalori.""",10 menit,10 menit,"""8 gram cabai merah atau rawit"",""69 gram daging dada ayam (ayam pedaging"",""dipanggang"",""dimasak)"",""27 gram buncis"",""50 gram jagung manis kuning"",""7 gram bawang putih""","""Panaskan tempel dalam wajan antilengket lalu tambahkan ayam. Tambahkan air sesuai kebutuhan."",""Masukkan jagung dan buncis. Didihkan selama 5 menit."",""Sajikan di atas piring.""",makan siang
18,Sup Sosis dengan Sayuran,1071,256,11.33,0.003613,0.0,0.858,0.001924,212.0,19.04,21.09,6.2,6.32,745.0,596.0,"""Sup"",""Makan Siang""","""Hidangan lezat dan rendah kalori.""",10 menit,15 menit,"""1 besar telur"",""100 gram buncis"",""100 gram wortel"",""65 g sosis sapi & ayam""","""Rebus air secukupnya lalu masukkan irisan sayuran."",""Masukkan irisan sosis dan telur kocok."",""Bumbui sesuai keinginan dan masak selama 5 menit.""",makan siang
20,Sop Tulang Iga Sapi,655,156,9.75,0.003888,0.0,0.488,0.004114,35.0,10.57,6.75,0.0,3.58,62.0,426.0,"""Sup"",""Makan Siang"",""Hidangan Utama""","""Hidangan sederhana namun enak menggunakan 3 bahan.""",10 menit,40 menit,"""100 gram tomat"",""100 gram wortel"",""100 gram iga sapi (potongan kecil"",""diiris hingga 0.3 cm lemak)""","""Rebus daging sapi dengan air secukupnya selama 30 menit."",""Tambahkan irisan sayuran dan isi air sesuai kebutuhan."",""Bumbui sesuai selera dan masak hingga empuk."",""Sajikan dalam mangkuk dan hiasi sesuai keinginan.""",makan siang
21,Ikan Tongkol Asam Pedas,417,100,0.63,0.175,0.0,0.212,0.124,0.01,7.04,18.39,1.9,15.24,35.0,311.0,"""Makan Siang"",""Hidangan Utama""","""Hidangan rendah kolesterol menggunakan 5 bahan.""",25 menit,45 menit,"""1 sdm cabai merah atau rawit"",""100 gram asam jawa"",""1 siung bawang putih"",""1 kecil bawang merah"",""100 gram ikan tongkol""","""Rebus tuna dalam air hingga empuk. Tiriskan dan potong."",""Dalam wajan yang sudah diolesi sedikit minyak"",""tumis bahan lainnya hingga harum."",""Tambahkan tuna dan aduk."",""Didihkan selama 5 menit.""",makan siang
23,Rebusan Tahu dengan Kecambah,256,61,3.83,0.936,0.0,0.699,0.999,0.0,4.44,3.65,0.0,1.46,684.0,124.0,"""Makan Siang"",""Sup"",""Lauk Pauk""","""Hidangan mudah dan rendah kalori.""",10 menit,20 menit,"""120 gram kecambah"",""1 sdt garam"",""2 siung bawang putih"",""1/2 utuh sedang tomat merah"",""500 ml air"",""157 gram tahu"",""7 ml minyak goreng"",""7 g saos tiram""","""Potong tahu dan sayuran."",""Panaskan minyak dalam wajan dan tumis bawang putih sampai keemasan."",""Tambahkan air dan biarkan mendidih."",""Masukkan sisa bahan dan bumbui. Masak sampai empuk.""",makan siang
29,Mangkuk Sushi Salmon,3314,792,67.38,0.013141,0.0,0.002286,0.0023799999999999,54.0,22.58,7.56,0.4,0.83,1.568,344.0,"""Hidangan Utama"",""Makan Siang""","""Hidangan yang memuaskan dengan kadar gula rendah.""",15 menit,.,"""87 gram ikan salmon panggang"",""5 ml kecap"",""2 g nori"",""180 g wijen panggang mayones"",""40 g nasi porang""","""Suwir salmon yang sudah matang menggunakan garpu."",""Masukkan nasi ke dalam mangkuk."",""Tambahkan semua bahan dan hiasi dengan nori.""",makan siang
32,Nasi Pizza dengan Ayam dan Sayuran,978,234,11.46,0.0038399999999999,0.0,0.002128,0.004899,0.08,13.29,19.4,0.5,0.28,497.0,136.0,"""Hidangan Utama"",""Makan Siang"",""Makanan Ringan""","""Hidangan bebas gula"",""rendah kalori.""",10 menit,20 menit,"""100 gram dada ayam"",""1 kecil telur"",""200 gram nasi putih"",""10 gram wortel dimasak"",""10 gram buncis"",""2 sdm mentega"",""3 g kaldu jamur""","""Potong dadu dada ayam dan wortel."",""Rebus dalam air bersama dengan buncis selama 10 menit."",""Giling semuanya dalam blender (kecuali mentega)."",""Panaskan wajan dengan mentega dan masak campuran sampai berwarna keemasan.""",makan siang
33,Kari Tuna,319,76,1.36,0.743,0.0,0.0002399999999999,0.116,26.0,13.63,2.24,0.6,0.38,159.0,278.0,"""Makan Siang"",""Hidangan Utama""","""Hidangan sederhana menggunakan ikan.""",10 menit,30 menit,"""400 gram ikan tuna"",""6 gram cabai merah atau rawit"",""2 gram kunyit"",""3 g stevia sweetener"",""10 g santan bubuk"",""9 g bumbu gulai""","""Campur bubuk dan larutkan dengan air secukupnya."",""Masukkan ke dalam panci dan didihkan sambil diaduk."",""Tambahkan tuna dan merica. Masak hingga empuk.""",makan siang
34,Toge Telur,1054,252,6.84,0.0027879999999999,0.0,0.001075,0.001968,212.0,21.9,26.73,3.3,18.14,1.138,249.0,"""Makanan Pembuka"",""Hidangan Utama"",""Lauk Pauk""","""Menu low calorie.""",5 menit,15 menit,"""1 besar egg"",""150 gram sprouts"",""100 ml water"",""50 g bakso daging sapi"",""2 sdm saos tiram"",""1 bungkus level 30"",""1 sdm kecap manis sedaap""","""Rebus air"",""masukkan toge."",""Potong potong bakso"",""kocok telur lalu masukkan ke rebusan air."",""Tambah kecap"",""saori dan sedikit bubuk cabai. Rebus hingga matang.""",makan siang
